semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
"א'
א'","א'
ג'","308 
308 ","טרובוביץ משפ
טרובוביץ משפ",פרופ רוזן צבי יששכר,"1200 - 0900
1400 - 1100",דיון אזרחי,משפטים ,"שיעור
שיעור",1411-3124-01
ב',ד',206א,מכסיקו,"ד""ר רותם סטפני",1800 - 1600,בית: House and Home,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,סמינר,0810-5083-01
"ב'
ב'","א'
ד'","308 
102 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר לביא שי","1200 - 0900
1200 - 0900",דיון אזרחי,משפטים ,"שיעור
שיעור",1411-3124-10
א',א',206א,מכסיקו,"ד""ר אונגר הנריק",1800 - 1600,סוגיות נבחרות באסתטיקה ובפילוסופיה של האמנויות,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,שיעור,0810-6003-01
"ב'
ב'","ב'
ה'","301 
301 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר שאנן תמיר","1000 - 0800
1115 - 0945",דיני מיסים,משפטים ,"שיעור
שיעור",1411-3125-01
א',None,    ,None,  ,None,הנחיית תזה,אמנויות/תכנית הבינתחומית לתואר שני באמנויות ,הדרכה אי,0810-9977-01
"א'
ב'","א'
א'","152 
152 ","עבודה סוציאלית
עבודה סוציאלית",גב' פנחסי בתיה,"1200 - 1000
1200 - 1000",שיטות בעבודה סוציאלית-א,עבודה סוציאלית ,"שיעור ות
שיעור ות",1110-1100-01
"א'
א'","ב'
ד'","102 
308 ","טרובוביץ משפ
טרובוביץ משפ",פרופ מרגליות יורם יצחק,"1200 - 0900
1200 - 0900",דיני מיסים,משפטים ,"שיעור
שיעור",1411-3126-10
ב',א',212 ,מכסיקו,"ד""ר אהרונסון-להבי שרון",1600 - 1200,על הבמה! מחזאות עולמית במאה העשרים ואחת,אמנויות/אמנות התאטרון ,שיעור,0811-0219-01
"א'
ב'","א'
א'","122 
016 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר עבוד-חלבי יסמין","1200 - 1000
1200 - 1000",שיטות בעבודה סוציאלית-א,עבודה סוציאלית ,"שיעור ות
שיעור ות",1110-1100-02
"א'
ב'","א'
א'","209 
209 ","טרובוביץ משפ
טרובוביץ משפ",מר פיגנבאום איתי,"1200 - 0900
1200 - 0900",דיני תאגידים,משפטים ,"שיעור
שיעור",1411-3132-01
"א'
א'
ב'
ב'","א'
ג'
א'
ג'","206ב
206ב
206ב
206ב","מכסיקו
מכסיקו
מכסיקו
מכסיקו",פרופ קנר-אריאל רות,"2100 - 1800
1400 - 1100
2100 - 1800
1500 - 1200",תיאטרון סיפור,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע
עבודה מע
עבודה מע",0811-0220-01
"א'
ב'","א'
א'","123 
015 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר גבריאל פריד בל","1200 - 1000
1200 - 1000",שיטות בעבודה סוציאלית-א,עבודה סוציאלית ,"שיעור ות
שיעור ות",1110-1100-03
"ב'
ב'","ב'
ה'","102 
102 ","טרובוביץ משפ
טרובוביץ משפ",פרופ וסטרייך אלימלך,"1400 - 1200
1400 - 1200",אמצעי תשלום ומסמכים סחירים,משפטים ,"שיעור
שיעור",1411-3138-01
א',ד',207א,מכסיקו,מר דומנוב איליה,1800 - 1600,תנועה,אמנויות/אמנות התאטרון ,עבודה מע,0811-0222-01
"א'
ב'","א'
א'","150 
150 ","עבודה סוציאלית
עבודה סוציאלית",גב' זקס אילנה,"1200 - 1000
1200 - 1000",שיטות בעבודה סוציאלית-א,עבודה סוציאלית ,"שיעור ות
שיעור ות",1110-1100-04
"א'
א'","None
ב'","    
308 ","None
טרובוביץ משפ",פרופ מונדלק גיא,"None
1245 - 1000",דיני עבודה,משפטים ,"שיעור
שיעור",1411-3149-01
"א'
א'
ב'
ב'","א'
ד'
א'
ד'","315 
206ב
315 
206ב","מאירהוף ב.א'
מכסיקו
מאירהוף ב.א'
מכסיקו",גב' קרמסקי יעל,"1500 - 1200
1500 - 1200
1500 - 1200
1500 - 1200",יסודות המשחק,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע
עבודה מע
עבודה מע",0811-0223-01
"א'
ב'","א'
א'","121 
017 ","עבודה סוציאלית
עבודה סוציאלית","ד""ר פגורק אשל שירה","1200 - 1000
1200 - 1000",שיטות בעבודה סוציאלית-א,עבודה סוציאלית ,"שיעור ות
שיעור ות",1110-1100-05
"א'
א'","א'
ד'","102 
102 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר חורי אמיר","1400 - 1200
1400 - 1200",קניין רוחני,משפטים ,"שיעור
שיעור",1411-3151-01
"א'
ב'","א'
ד'","317 
207א","מאירהוף ב.א'
מכסיקו","גב' אופנהיים לנדאו מיכל
גב' רייזמן שוש","1100 - 0900
1700 - 1500",גילוי הקול ותרגיל קולי,משפטים/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0225-01
ב',ד',015 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-01
"א'
א'","ג'
ה'","100 
100 ","טרובוביץ משפ
טרובוביץ משפ",פרופ בירנהק מיכאל,"1100 - 0900
1200 - 0900",קניין רוחני,משפטים ,"שיעור
שיעור",1411-3152-01
"א'
ב'","א'
ה'","315 
315 ","מאירהוף ב.א'
מאירהוף ב.א'","ד""ר כהן בן שאול דפנה","1900 - 1600
1400 - 1100",אמנות הדיבור,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0226-01
"א'
א'","ג'
ה'","002 
002 ","כיתות דן דוד
כיתות דן דוד","מר חוצב ליאור
מר שרוני איתי","2100 - 1700
2015 - 1715",הנהלת חשבונות,ניהול/חשבונאות ,"בחינה
בחינה",1211-1001-01
ב',ד',016 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-02
"ב'
ב'","א'
ד'","100 
100 ","טרובוביץ משפ
טרובוביץ משפ",פרופ זלצמן נינה,"1400 - 1200
1400 - 1200",משפט מסחרי: דיני שיעבודים,משפטים ,"שיעור
שיעור",1411-3330-01
"א'
א'
ב'
ב'","א'
ג'
א'
ג'","206ב
206ב
206ב
206ב","מכסיקו
מכסיקו
מכסיקו
מכסיקו",פרופ קנר-אריאל רות,"1700 - 1400
1800 - 1500
1600 - 1300
1900 - 1600",עבודה על סצנות,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע
עבודה מע
עבודה מע",0811-0227-01
א',ג',252 ,רקנאטי,מר עדיני אלעד גילעד,1300 - 0800,יסודות החשבונאות,ניהול/חשבונאות ,שיעור,1211-1103-01
ב',ד',017 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-03
"א'
א'","ג'
ה'","308 
308 ","טרובוביץ משפ
טרובוביץ משפ",פרופ זיו נטע,"1100 - 0900
1200 - 1000","המקצוע המשפטי-תיאוריה, פרקטיקה ואתיקה",משפטים ,"שיעור
שיעור",1411-3411-10
א',א',208 ,מכסיקו,מר אבנרי עירא,1400 - 1200,דרמטורגיה לבמה,אמנויות/אמנות התאטרון ,שיעור,0811-0228-01
ב',ג',407 ,רקנאטי,פרופ אינהורן אסתר,1700 - 1200,יסודות החשבונאות,ניהול/חשבונאות ,שיעור,1211-1103-02
ב',ד',012 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-04
"ב'
ב'","ג'
ה'","308 
308 ","טרובוביץ משפ
טרובוביץ משפ",פרופ קלמנט אלון,"1400 - 1200
1400 - 1200",משפט בינלאומי פרטי,משפטים ,"שיעור
שיעור",1411-4131-01
"א'
ב'","ה'
ה'","317 
317 ","מאירהוף ב.א'
מאירהוף ב.א'",גב' רייזמן שוש,"1500 - 1200
1900 - 1500",הבעה קולית בדיבור ושירה,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0229-01
ב',None,    ,None,  ,None,עבודת גמר במינהל ומנהיגות בחינוך,חינוך/מגמה למינהל החינוך וארגונו ,עבודת גמ,0716-9999-02
ב',ה',406 ,רקנאטי,פרופ אינהורן אסתר,1600 - 1100,יסודות החשבונאות,ניהול/חשבונאות ,שיעור,1211-1103-03
ב',ד',013 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-05
"ב'
ב'","א'
ד'","102 
102 ","טרובוביץ משפ
טרובוביץ משפ",פרופ זנדברג חיים,"1500 - 1200
1500 - 1200",דיני קניין,משפטים ,"שיעור
שיעור",1411-4133-01
א',ה',206ב,מכסיקו,מר רול גד,2000 - 1600,משחק א,אמנויות/אמנות התאטרון ,עבודה מע,0811-0231-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","פרוייקט חינוכי (פר""ח)",חינוך/היבטים התפתחותיים בחינוך ,"עבודה מע
עבודה מע",0721-0002-01
א',ה',252 ,רקנאטי,גב' גילת נטע,1000 - 0800,יסודות החשבונאות,ניהול/חשבונאות ,תרגיל,1211-1103-10
ב',ד',121 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-06
"א'
ב'","ה'
ה'","304 
304 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר פונדיק עמית","1700 - 1400
1700 - 1400",דיני ראיות,משפטים ,"שיעור
שיעור",1411-4135-01
"א'
ב'","ד'
ד'","121 
207א","מכסיקו
מכסיקו",פרופ הניג אופירה,"1800 - 1500
1500 - 1200",מצילום דקומנטרי למופע,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0232-01
"א'
ב'","ב'
ב'","308 
308 ","שרת
שרת",מר לוי דורון,"1900 - 1600
1900 - 1600",שפת הסימנים הישראלית,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-0005-01
ב',ב',404 ,רקנאטי,מר כהן עודד,1900 - 1700,יסודות החשבונאות,ניהול/חשבונאות ,תרגיל,1211-1103-20
ב',ד',122 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-07
"א'
א'","ב'
ה'","209 
209 ","טרובוביץ משפ
טרובוביץ משפ",פרופ פישר טליה,"1300 - 1000
1400 - 1200",דיני ראיות,משפטים ,"שיעור
שיעור",1411-4136-01
א',ה',317 ,מאירהוף ב.א',גב' אופנהיים לנדאו מיכל,1200 - 1000,קול,אמנויות/אמנות התאטרון ,עבודה מע,0811-0233-01
"ב'
ב'","ג'
ג'","432 
307 ","שרת
שרת","ד""ר גוטמן עידית","1200 - 1000
1200 - 1000",פסיכולוגיה של האישיות,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-2000-01
ב',ד',406 ,רקנאטי,גב' גילת נטע,1800 - 1600,יסודות החשבונאות,ניהול/חשבונאות ,תרגיל,1211-1103-30
ב',ד',126 ,עבודה סוציאלית,  ,1600 - 1400,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-09
ב',ד',100 ,טרובוביץ משפ,"ד""ר דיין אורבך אילנה",1600 - 1400,חופש הביטוי בדמוקרטיה ליברלית,משפטים ,שיעור,1411-5078-01
ב',ב',207א,מכסיקו,מר זהר מאיר זיו,1900 - 1600,דיבור ושפה,אמנויות/אמנות התאטרון ,עבודה מע,0811-0234-01
ב',ב',013B,לימודי הסביבה,מר פיש דניאל,2000 - 1800,דיני איכות הסביבה,לימודי הסביבה ,שיעור,0910-1000-01
ב',ג',432 ,שרת,פרופ לוין אל יגון מיכל,1000 - 0800,חלק ב: תהליכי התפתחות חברתית ורגשית בקרב ילדים,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2002-01
א',ב',301 ,רקנאטי,מר גולדברג דוד,2030 - 1800,חשבונאות ניהולית,ניהול/חשבונאות ,שיעור,1211-1104-01
ב',ב',008 ,עבודה סוציאלית,  ,1800 - 1600,יחסים בינאישיים בקבוצה,עבודה סוציאלית ,תרגיל,1110-1104-12
"א'
ב'","ג'
ג'","207 
207 ","טרובוביץ משפ
טרובוביץ משפ","ד""ר ווזנר שי עקביא","1800 - 1600
1800 - 1600",התכנית לזכויות בהליך הפלילי,משפטים ,"עבודה מע
עבודה מע",1411-5160-01
ב',ב',208 ,מכסיקו,"ד""ר ליפשיץ יאיר",1600 - 1200,קווי שבר בתיאטרון היידי,אמנויות/אמנות התאטרון ,סמינר,0811-0235-01
א',ב',013B,לימודי הסביבה,"ד""ר מישורי דניאל",1000 - 0800,מבוא לאקו-פילוסופיה ואתיקה סביבתית,לימודי הסביבה ,שיעור,0910-1100-01
"א'
ב'","ה'
ב'","101 
101 ","טרובוביץ משפ
טרובוביץ משפ",  ,"1200 - 1000
1800 - 1600",סמינר סוגיות במדעי המוח א,מדעי המח ,"סמינר
סמינר",1500-1000-01
א',ד',332 ,שרת,"ד""ר רינגולד דליה",1600 - 1400,מבוא להתפתחות תקינה של שפה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2004-01
ב',א',405 ,רקנאטי,גב' ענווה אורלי,1200 - 0900,חשבונאות ניהולית,ניהול/חשבונאות ,שיעור,1211-1104-02
ב',ב',127 ,עבודה סוציאלית,פרופ בנימיני יעל,1400 - 1200,פסיכולוגיה התפתחותית במעגל החיים,עבודה סוציאלית ,שיעור ות,1110-1106-01
א',ד',305 ,טרובוביץ משפ,פרופ זלצמן נינה,1700 - 1400,זכויות בנכס הזולת,משפטים ,סמינר,1411-5212-01
ב',ג',120 ,מכסיקו,"ד""ר הררי דרור",1400 - 1000,תיאטרון לפנים,אמנויות/אמנות התאטרון ,סמינר,0811-0236-01
ב',ב',106 ,לימודי הסביבה,"ד""ר גולברג אלכסנדר",1500 - 1200,אקולוגיה תעשייתית והנדסה בת קיימא,לימודי הסביבה ,שיעור,0910-1150-01
ב',ה',410 ,שרת,"ד""ר יוקל אריאלה",1800 - 1600,"לקויות תקשורת, שפה ודיבור אצל ילדים",חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2005-01
ב',ב',406 ,רקנאטי,מר קופמן ניר,1700 - 1400,חשבונאות ניהולית,ניהול/חשבונאות ,שיעור,1211-1104-03
א',א',127 ,עבודה סוציאלית,"ד""ר נסים גד",1400 - 1200,מבוא לרווחה חברתית,עבודה סוציאלית ,שיעור,1110-1112-01
"א'
ב'","ד'
ב'","205 
205 ","טרובוביץ משפ
טרובוביץ משפ",פרופ גרוס אייל,"1800 - 1600
1800 - 1600",התכנית לזכויות אדם,משפטים ,"עבודה מע
עבודה מע",1411-5240-01
ב',ד',201 ,כיתות דן דוד,"ד""ר שלגו איגר שלומית",1600 - 1200,ייצוגי מלחמה בתיאטרון המודרני טקסט דרמטי בקונטקסט אידיאולוגי,אמנויות/אמנות התאטרון ,סמינר,0811-0237-01
א',ב',013B,לימודי הסביבה,"ד""ר נפתלי ניר",1400 - 1200,העולם סביבנו - נושאים נבחרים,לימודי הסביבה ,שיעור ות,0910-1222-01
א',ד',104 ,כיתות דן דוד,"ד""ר בוטוויניק אירינה",2000 - 1600,מבוא לבלשנות ופסיכובלשנות,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2007-01
א',ג',280 ,גילמן,מר רצקין אור פסח,1930 - 1800,חשבונאות ניהולית,ניהול/חשבונאות ,תרגיל,1211-1104-10
"א'
ב'","None
None","    
    ","None
None",גב' פנחסי בתיה,"None
None",הכשרה מעשית מודרכת בשירותי הרווחה,עבודה סוציאלית ,"עבודה מע
עבודה מע",1110-1118-01
א',ג',100 ,טרובוביץ משפ,"ד""ר גלבוע מיטל",1300 - 1100,עשיית עושר ולא במשפט,משפטים ,שיעור,1411-5358-01
א',ג',212 ,מכסיקו,"ד""ר מלכא-ילין ליאורה",1400 - 1000,"דמויות שקספיריות: פעולה, דימוי ופוליטיקה של זהויות",אמנויות/אמנות התאטרון ,סמינר,0811-0238-01
א',ב',013B,לימודי הסביבה,"ד""ר שחם בועז",2000 - 1800,פרקים נבחרים באקולוגיה,לימודי הסביבה ,שיעור,0910-1500-01
ב',ב',318 ,שרת,"ד""ר מיכאל-מכלוף רינת",1000 - 0830,מערכת החינוך לתלמידים חרשים וכבדי שמיעה לקויי שמיעה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2008-01
ב',ב',406 ,רקנאטי,גב' בכר טל,1000 - 0800,חשבונאות ניהולית,ניהול/חשבונאות ,תרגיל,1211-1104-20
"א'
ב'","None
None","    
    ","None
None","ד""ר עבוד-חלבי יסמין","None
None",הכשרה מעשית מודרכת בשירותי הרווחה,עבודה סוציאלית ,"עבודה מע
עבודה מע",1110-1118-02
ב',ג',105 ,טרובוביץ משפ,גב' ברוידא יעל,2000 - 1800,גישות תיאורטיות למשפט,משפטים ,סמינר,1411-5466-30
א',ד',203 ,כיתות דן דוד,"ד""ר אהרונסון-להבי שרון",2000 - 1600,דרמה קלאסית ותיאטרון ניסיוני בישראל,אמנויות/אמנות התאטרון ,סמינר,0811-0239-01
"ב'
א'","ב'
ב'","013B
013B","לימודי הסביבה
לימודי הסביבה","ד""ר גולברג אלכסנדר
ד""ר מישורי דניאל","1200 - 1100
1200 - 1100",סמינר מחלקתי,לימודי הסביבה ,"קולוקויו
קולוקויו",0910-4000-01
ב',ה',308 ,שרת,מר פז ברק,1800 - 1600,מבוא לפונטיקה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2009-01
ב',ד',406 ,רקנאטי,מר רצקין אור פסח,1000 - 0800,חשבונאות ניהולית,ניהול/חשבונאות ,תרגיל,1211-1104-30
"א'
ב'","None
None","    
    ","None
None","ד""ר גבריאל פריד בל","None
None",הכשרה מעשית מודרכת בשירותי הרווחה,עבודה סוציאלית ,"עבודה מע
עבודה מע",1110-1118-03
ב',None,    ,None,"ד""ר אהרונוביץ אלברטו",None,The Protection of International Investments,משפטים ,שיעור,1411-5492-50
א',ד',120 ,מכסיקו,"ד""ר אלון חן",1600 - 1200,ארטיביזם; משחקים שינוי חברתי,אמנויות/אמנות התאטרון ,סמינר,0811-0240-01
א',ד',101 ,לימודי הסביבה,"ד""ר רונן רותם אורלי",1000 - 0800,מבוא לקיימות עירונית,לימודי הסביבה ,שיעור,0910-4002-01
א',ה',318 ,שרת,"ד""ר זלץ זילברשטיין יעל",1000 - 0800,אנטומיה ופיזיולוגיה של מערכות הדיבור והשמיעה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2010-01
א',ה',406 ,רקנאטי,"ד""ר לוי שירלי",1300 - 1000,יסודות המשפט העסקי,ניהול/חשבונאות ,שיעור,1211-1106-01
"א'
ב'","None
None","    
    ","None
None",גב' זקס אילנה,"None
None",הכשרה מעשית מודרכת בשירותי הרווחה,עבודה סוציאלית ,"עבודה מע
עבודה מע",1110-1118-04
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","כתב העת ""מעשי משפט""",משפטים ,"עבודה מע
עבודה מע",1411-5531-01
א',א',209 ,מכסיקו,"ד""ר בן-שאול דפנה",1800 - 1400,מופע הרפלקסיבי: התיאטרון של נרקיס ואכו,אמנויות/אמנות התאטרון ,סמינר,0811-0241-01
"א'
א'","א'
ד'","204 
112 ","נפתלי
כיתות דן דוד","ד""ר אלון-לבנת מיכל","1200 - 1000
1400 - 1200",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-01
א',ד',101 ,לימודי הסביבה,"ד""ר גבעתי עמיר   אהרון",1800 - 1600,משק המים בישראל בראי שינויי האקלים,לימודי הסביבה ,שיעור,0910-4003-01
ב',ה',103 ,כיתות דן דוד,"ד""ר זלץ זילברשטיין יעל",1000 - 0800,מבוא לבדיקות שמיעה ומכשירי שמיעה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2011-01
א',ד',103 ,רקנאטי,מר קרייניק שמואל,1400 - 1100,יסודות המשפט העסקי,ניהול/חשבונאות ,שיעור,1211-1106-02
"א'
ב'","None
None","    
    ","None
None","ד""ר פגורק אשל שירה","None
None",הכשרה מעשית מודרכת בשירותי הרווחה,עבודה סוציאלית ,"עבודה מע
עבודה מע",1110-1118-05
א',ה',301 ,טרובוביץ משפ,פרופ גילה דיויד,1600 - 1400,הגבלים עסקיים א',משפטים ,שיעור,1411-5556-01
ב',ג',207א,מכסיקו,מר ענבר דן,1700 - 1400,לדבר את הטקסט,אמנויות/אמנות התאטרון ,עבודה מע,0811-0242-01
"א'
א'","א'
ד'","204 
112 ","נפתלי
כיתות דן דוד","ד""ר אלון-לבנת מיכל","1400 - 1200
1600 - 1400",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-02
א',ד',101 ,לימודי הסביבה,"ד""ר פרידקין שמעון",1600 - 1400,שיטות מחקר,לימודי הסביבה ,שיעור ות,0910-4004-01
א',א',307 ,שרת,"ד""ר אפרתי וירצ מאירה",1000 - 0830,מערכת החינוך בישראל: מבט מן השטח,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2015-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",השתתפות בשעות ניסוי במעבדה ההתנהגותית - החוג לחשבונאות,ניהול/חשבונאות ,"תרגיל
תרגיל",1211-1112-01
א',ד',214 ,עבודה סוציאלית,"ד""ר קורין-לנגר נורה",1200 - 1000,מצוקה ומעורבות חברתית,עבודה סוציאלית ,עבודה מע,1110-1119-01
ב',ד',301 ,טרובוביץ משפ,פרופ גילה דיויד,1400 - 1200,הגבלים עסקיים ב',משפטים ,שיעור,1411-5557-01
ב',ה',207א,מכסיקו,מר דומנוב איליה,1900 - 1700,קרבות במה,אמנויות/אמנות התאטרון ,עבודה מע,0811-0813-01
"א'
א'","ב'
ה'","204 
204 ","נפתלי
נפתלי","ד""ר אלון-לבנת מיכל","1000 - 0800
1000 - 0800",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-03
א',ב',101 ,לימודי הסביבה,גב' ברכיה ולרי אליאן,1600 - 1400,פרקים נבחרים במדיניות סביבה,לימודי הסביבה ,שיעור,0910-4012-01
ב',א',410 ,שרת,"ד""ר אפרתי וירצ מאירה",1000 - 0830,מערכת החינוך בישראל: מבט מן השטח,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2015-02
א',ד',104 ,רקנאטי,מר גולדברג דוד,1530 - 1400,מודלים בחשבונאות ניהולית מתקדמת,ניהול/חשבונאות ,שיעור,1211-2205-01
א',ב',001 ,עבודה סוציאלית,מר מורן ויסבלום שמואל,1000 - 0800,מבוא למשפט,עבודה סוציאלית ,שיעור,1110-1120-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","סגן מערכת  ""theoretical Inquiries in Law""",משפטים ,"עבודה מע
עבודה מע",1411-5580-01
"א'
ב'","ב'
א'","206ב
207א","מכסיקו
מכסיקו",מר רול גד,"2000 - 1700
1500 - 1200",תחביר הבימוי,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0814-01
"א'
א'","ב'
ה'","210 
112 ","נפתלי
כיתות דן דוד",גב' סולוביי אורית,"1400 - 1200
1400 - 1200",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-04
ב',ב',101 ,לימודי הסביבה,"ד""ר פרידקין שמעון",1800 - 1600,"שיטות מחקר למ""א עם תזה",לימודי הסביבה ,שיעור,0910-4013-01
א',ג',411 ,שרת,פרופ לוין אל יגון מיכל,1000 - 0800,חלק א: תהליכי התפתחות חברתית ורגשית בקרב ילדים,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2018-01
