building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ג',פרופ בן-שאול ניצן,קולנוע וטלוויזיה ,119א,ב',אמנויות,סמינר,"סקרנות, הפתעה ומתח בקולנוע נרטיבי",0851-9868-01,2000 - 1600
מכסיקו,ד',פרופ זנגר ענת,קולנוע וטלוויזיה ,119א,ב',אמנויות,סמינר,כתב עת - מגדר בקולנוע ובטלוויזיה,0851-9869-01,1400 - 1000
מכסיקו,ד',"ד""ר חגין בועז",קולנוע וטלוויזיה ,209 ,ב',אמנויות,סמינר,"החוויה הקולנועית: גישות פנומולוגיות לקולנוע, לטלוויזיה ולמדיה",0851-9870-01,1800 - 1400
קיקואין,א',"ד""ר חגין בועז",קולנוע וטלוויזיה ,002 ,א',אמנויות,סמינר,"מבט עדכני על תיאוריות ""קלאסיות""",0851-9871-01,1600 - 1400
מכסיקו,א',"ד""ר חגין בועז",קולנוע וטלוויזיה ,117א,ב',אמנויות,סמינר,כסף וקולנוע: מחקרים על תעשיית המדיה וקפיטליזם,0851-9872-01,1600 - 1400
מכסיקו,ב',פרופ זנגר ענת,קולנוע וטלוויזיה ,117א,ב',אמנויות,סמינר,"ירושלים: עיר, קולנוע וטלוויזיה (סמינר מחקר)",0851-9873-01,1400 - 1000
None,None,  ,קולנוע וטלוויזיה ,    ,א',אמנויות,עבודת גמ,פרויקט גמר ל - M.F.A.,0851-9997-01,None
None,None,  ,תכנית רב תחומית באמנויות ,    ,א',אמנויות,תרגיל,הדרכת בטיחות,0861-1002-01,None
מכסיקו,ג',"ד""ר מלכא-ילין ליאורה",תכנית רב תחומית באמנויות ,206א,א',אמנויות,שיעור,תיאטרון ומחול כשפה בימתית,0861-1106-01,1600 - 1400
מכסיקו,ג',"ד""ר דובדבני שמואל",תכנית רב תחומית באמנויות ,115 ,ב',אמנויות,שיעור,מבוא לשפת הקולנוע,0861-1107-01,1800 - 1600
מכסיקו,ג',"ד""ר דובדבני שמואל",תכנית רב תחומית באמנויות ,206א,ב',אמנויות,שיעור,מבוא לשפת הקולנוע,0861-1107-01,2000 - 1800
מכסיקו,א',"ד""ר אונגר הנריק",תכנית רב תחומית באמנויות ,115 ,א',אמנויות,שיעור,תחנות בתרבות המערב,0861-1210-01,1400 - 1200
מכסיקו,א',"ד""ר אונגר הנריק",תכנית רב תחומית באמנויות ,115 ,ב',אמנויות,שיעור,תחנות בתרבות המערב,0861-1210-01,1400 - 1200
מכסיקו,ה',"ד""ר אופנהיים רועי",תכנית רב תחומית באמנויות ,206א,א',אמנויות,שיעור,מבוא לשפת המוזיקה,0861-1301-01,1400 - 1000
מכסיקו,ב',"ד""ר דובדבני שמואל",תכנית רב תחומית באמנויות ,115 ,א',אמנויות,שיעור,מבוא לתולדות הקולנוע א',0861-1582-01,1800 - 1600
מכסיקו,ב',"ד""ר דובדבני שמואל",תכנית רב תחומית באמנויות ,115 ,ב',אמנויות,שיעור,מבוא לתולדות הקולנוע ב',0861-1583-01,1800 - 1600
מכסיקו,ב',"ד""ר דגני רז אירית",תכנית רב תחומית באמנויות ,206א,א',אמנויות,שיעור,אמת וייצוג באמנות,0861-1585-01,1600 - 1400
מכסיקו,ד',"ד""ר דגני רז אירית",תכנית רב תחומית באמנויות ,208 ,ב',אמנויות,שיעור,זרמים בביקורת המאה העשרים,0861-1586-01,1200 - 1000
מכסיקו,ג',"ד""ר בליך בן ברוך",תכנית רב תחומית באמנויות ,211 ,א',אמנויות,שיעור,אמנות ופילוסופיה:מבוא לאסתטיקה,0861-1588-01,1400 - 1000
מכסיקו,ד',"ד""ר שטרן אפרת",תכנית רב תחומית באמנויות ,206א,א',אמנויות,שיעור,האמנות המערבית משחר ההיסטוריה ועד הרנסנס,0861-1589-01,1200 - 1000
מכסיקו,ד',"ד""ר שטרן אפרת",תכנית רב תחומית באמנויות ,206א,ב',אמנויות,שיעור,האמנות המערבית מהרנסנס ועד ימינו,0861-1590-01,1200 - 1000
מכסיקו,ג',"ד""ר מלכא-ילין ליאורה",תכנית רב תחומית באמנויות ,206ג,ב',אמנויות,סמינר,ריקוד חוצה גבולות: מחול עכשווי בהקשר תרבותי,0861-4055-01,1600 - 1200
מכסיקו,ג',"ד""ר שלגו איגר שלומית",תכנית רב תחומית באמנויות ,210 ,א',אמנויות,שיעור,זרמים וסגנונות בתולדות העיצוב והבגד א',0861-7001-01,1200 - 1000
מכסיקו,ג',"ד""ר שלגו איגר שלומית",תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,שיעור,זרמים וסגנונות בתולדות העיצוב והבגד ב',0861-7002-01,1400 - 1200
מכסיקו,ב',מר סופר עדי,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,שיעור ות,הנראטיב הקולנועי  והטלויזיוני,0861-7004-01,1400 - 1200
מכסיקו,ג',פרופ בילו גורצקה מרים,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,שיעור ות,יסודות העיצוב א',0861-8001-01,1500 - 1200
מכסיקו,ב',מר דולב עידו,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,שיעור ות,יסודות העיצוב ב',0861-8002-01,1200 - 0900
מכסיקו,א',פרופ בילו גורצקה מרים,תכנית רב תחומית באמנויות ,211 ,א',אמנויות,שיעור ות,ציור תלבושות,0861-8003-01,1800 - 1500
מכסיקו,א',גב' סימן טוב ונדנבוש נעמי גילה,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,סדנה,יסודות ברישום,0861-8004-01,1400 - 0900
מכסיקו,ב',מר פרידמן עודד במבי יצחק,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,סדנה,שרטוט בסיסי,0861-8005-01,1400 - 1200
מכסיקו,ג',גב' קונסון דינה,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,סדנה,מאקט,0861-8006-01,1600 - 1400
מכסיקו,ד',גב' קונסון דינה,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,סדנה,שרטוט בעזרת מחשב - אוטוקאד,0861-8007-01,1400 - 1200
מכסיקו,ד',גב' קונסון דינה,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,סדנה,עיצוב בעזרת מחשב - פוטושופ,0861-8008-01,1500 - 1400
מכסיקו,א',מר אסא גל,תכנית רב תחומית באמנויות ,118ח,א',אמנויות,סדנה,תוכנות מחשב בקולנוע-הדמיות ממוחשבות בתלת ממד,0861-8009-01,1400 - 1200
מכסיקו,א',"ד""ר גולדמן אלה אלזבייטה",תכנית רב תחומית באמנויות ,210 ,א',אמנויות,סדנה,טכניקות בהבעה גרפית-פלסטית,0861-8010-01,2000 - 1500
מכסיקו,ב',גב' קיש כנרת,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,שיעור ות,סגנונות בעיצוב במה א',0861-8011-01,1700 - 1400
מכסיקו,ב',פרופ בילו גורצקה מרים,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,שיעור ות,סגנונות בעיצוב תלבושות א',0861-8012-01,2000 - 1700
מכסיקו,ד',מר דולב עידו,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,שיעור ות,עיצוב למצלמה,0861-8013-01,1500 - 1200
מכסיקו,ה',מר בר-עוז גדי,תכנית רב תחומית באמנויות ,210 ,א',אמנויות,סדנה,ניהול ייצור,0861-8014-01,2100 - 2000
מכסיקו,ה',מר בר-עוז גדי,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,סדנה,ניהול ייצור,0861-8014-01,2100 - 2000
מכסיקו,א',פרופ בילו גורצקה מרים,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,שיעור ות,סגנונות בעיצוב במה ותלבושות ב',0861-8015-01,1600 - 1200
מכסיקו,ה',מר פרידמן עודד במבי יצחק,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,שיעור ות,עיצוב אולפן טלוויזיה,0861-8016-01,1600 - 1300
מכסיקו,ב',גב' קלריך-דרץ' ילנה,תכנית רב תחומית באמנויות ,210 ,ב',אמנויות,סדנה,טכניקה של תלבושות,0861-8017-01,1800 - 1600
כיתות דן דוד,ב',"ד""ר שכטר מדלין",תכנית רב תחומית באמנויות ,201 ,א',אמנויות,סמינר,סוגיות נבחרות באסתטיקה מערבית,0861-9001-01,1400 - 1200
מכסיקו,ב',"ד""ר שכטר מדלין",תכנית רב תחומית באמנויות ,117 ,ב',אמנויות,סמינר,סוגיות נבחרות באסתטיקה מערבית,0861-9001-01,1400 - 1200
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-01,None
בית הסטודנט,א',מר ווכטל דניאל,ביה''ס לאדריכלות ,201 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-01,1900 - 1600
בית הסטודנט,ד',מר ווכטל דניאל,ביה''ס לאדריכלות ,201 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-01,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-02,None
בית הסטודנט,א',מר לרמן סרגיו,ביה''ס לאדריכלות ,202 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-02,1900 - 1600
בית הסטודנט,ד',מר לרמן סרגיו,ביה''ס לאדריכלות ,202 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-02,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-03,None
בית הסטודנט,א',מר הרף לאונרדו,ביה''ס לאדריכלות ,203 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-03,1900 - 1600
בית הסטודנט,ד',מר הרף לאונרדו,ביה''ס לאדריכלות ,203 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-03,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-04,None
בית הסטודנט,א',מר מנדלקרן עמית,ביה''ס לאדריכלות ,204 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-04,1900 - 1600
בית הסטודנט,ד',מר מנדלקרן עמית,ביה''ס לאדריכלות ,204 ,א',אמנויות,סדנה,סטודיו עיצוב 1א - יסודות בעיצוב אדריכלי,0881-1101-04,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-01,None
בית הסטודנט,ב',גב' חן שכנאי מיכל,ביה''ס לאדריכלות ,203 ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-01,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-02,None
בית הסטודנט,ב',מר בורשטיין איתמר,ביה''ס לאדריכלות ,204 ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-02,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-03,None
בית הסטודנט,ב',גב' חן שכנאי מיכל,ביה''ס לאדריכלות ,201 ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-03,1600 - 1300
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-04,None
בית הסטודנט,ב',מר בורשטיין איתמר,ביה''ס לאדריכלות ,202 ,א',אמנויות,סדנה,עיצוב בסיסי א,0881-1103-04,1600 - 1300
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-01,None
בית הסטודנט,א',מר לרמן סרגיו,ביה''ס לאדריכלות ,201 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-01,1900 - 1600
בית הסטודנט,ד',מר לרמן סרגיו,ביה''ס לאדריכלות ,201 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-01,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-02,None
בית הסטודנט,א',מר ווכטל דניאל,ביה''ס לאדריכלות ,203 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-02,1900 - 1600
בית הסטודנט,ד',מר ווכטל דניאל,ביה''ס לאדריכלות ,203 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-02,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-03,None
בית הסטודנט,א',מר מנדלקרן עמית,ביה''ס לאדריכלות ,202 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-03,1900 - 1600
בית הסטודנט,ד',מר מנדלקרן עמית,ביה''ס לאדריכלות ,202 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-03,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-04,None
בית הסטודנט,א',מר הרף לאונרדו,ביה''ס לאדריכלות ,204 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-04,1900 - 1600
בית הסטודנט,ד',מר הרף לאונרדו,ביה''ס לאדריכלות ,204 ,ב',אמנויות,סדנה,"סטודיו עיצוב 1 ב - עיצוב אדריכלי, מבנה בקנה מידה קטן",0881-1104-04,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,הבנת המרחב והבעתו 1,0881-1107-01,None
קיקואין,ב',מר מוזס סלומון,ביה''ס לאדריכלות ,001 ,א',אמנויות,שיעור,הבנת המרחב והבעתו 1,0881-1107-01,1000 - 0800
בית הסטודנט,ב',מר מוזס סלומון,ביה''ס לאדריכלות ,201 ,א',אמנויות,סדנה,הבנת המרחב והבעתו 1,0881-1107-02,1300 - 1000
בית הסטודנט,ב',מר מוזס סלומון,ביה''ס לאדריכלות ,203 ,א',אמנויות,סדנה,הבנת המרחב והבעתו 1,0881-1107-03,1600 - 1300
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור,מעקב בנין וטכנולוגיות בסיסיות,0881-1111-01,None
מכסיקו,א',גב' כרמון אסתר,ביה''ס לאדריכלות ,212 ,ב',אמנויות,שיעור,מעקב בנין וטכנולוגיות בסיסיות,0881-1111-01,1200 - 0900
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור ות,"סקר, תיעוד והערכה לאתר בסביבה היסטורית בנויה",0881-1113-01,None
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור ות,"סקר, תיעוד והערכה לאתר בסביבה היסטורית בנויה",0881-1113-01,None
מכסיקו,א',פרופ בר אור אמנון,ביה''ס לאדריכלות ,206א,א',אמנויות,שיעור ות,"סקר, תיעוד והערכה לאתר בסביבה היסטורית בנויה",0881-1113-01,1400 - 1200
כיתות דן דוד,א',פרופ בר אור אמנון,ביה''ס לאדריכלות ,201 ,ב',אמנויות,שיעור ות,"סקר, תיעוד והערכה לאתר בסביבה היסטורית בנויה",0881-1113-01,1600 - 1400
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,תולדות האדריכלות א' - עד הנצרות הקדומה,0881-1207-01,None
קיקואין,ג',"ד""ר קוזלובסקי רועי",ביה''ס לאדריכלות ,001 ,א',אמנויות,שיעור,תולדות האדריכלות א' - עד הנצרות הקדומה,0881-1207-01,1200 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,מבוא לניתוח יצירות אמנות,0881-1211-01,None
מכסיקו,ה',"ד""ר מאירי-דן נעמי",ביה''ס לאדריכלות ,115 ,א',אמנויות,שיעור,מבוא לניתוח יצירות אמנות,0881-1211-01,1400 - 1200
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור,מבוא לניתוח יצירות אמנות - מבט על אדריכלות,0881-1212-01,None
מכסיקו,ה',"ד""ר מאירי-דן נעמי",ביה''ס לאדריכלות ,115 ,ב',אמנויות,שיעור,מבוא לניתוח יצירות אמנות - מבט על אדריכלות,0881-1212-01,1400 - 1200
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור,תולדות אדריכלות ב+ג,0881-1217-01,None
מכסיקו,ג',"ד""ר בטרמן גרבינר אסתר",ביה''ס לאדריכלות ,206א,ב',אמנויות,שיעור,תולדות אדריכלות ב+ג,0881-1217-01,1600 - 1200
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,תקשורת גרפית א',0881-1301-01,None
קיקואין,ה',גב' כהן נעמי,ביה''ס לאדריכלות ,001 ,א',אמנויות,שיעור,תקשורת גרפית א',0881-1301-01,1000 - 0800
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,תרגיל,תקשורת גרפית א',0881-1301-02,None
בית הסטודנט,ה',גב' כהן נעמי,ביה''ס לאדריכלות ,201 ,א',אמנויות,תרגיל,תקשורת גרפית א',0881-1301-02,1200 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,תרגיל,תקשורת גרפית א',0881-1301-03,None
בית הסטודנט,ה',מר דרור אילן,ביה''ס לאדריכלות ,202 ,א',אמנויות,תרגיל,תקשורת גרפית א',0881-1301-03,1200 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור,תקשורת גרפית ב',0881-1302-01,None
קיקואין,ה',גב' כהן נעמי,ביה''ס לאדריכלות ,001 ,ב',אמנויות,שיעור,תקשורת גרפית ב',0881-1302-01,1000 - 0800
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,תרגיל,תקשורת גרפית ב',0881-1302-02,None
בית הסטודנט,ה',גב' כהן נעמי,ביה''ס לאדריכלות ,203 ,ב',אמנויות,תרגיל,תקשורת גרפית ב',0881-1302-02,1200 - 1000
בית הסטודנט,ה',מר דרור אילן,ביה''ס לאדריכלות ,204 ,ב',אמנויות,תרגיל,תקשורת גרפית ב',0881-1302-03,1200 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור ות,מתמטיקה לאדריכלים,0881-1304-01,None
קיקואין,ג',"ד""ר סעד דוד",ביה''ס לאדריכלות ,001 ,א',אמנויות,שיעור ות,מתמטיקה לאדריכלים,0881-1304-01,1400 - 1200
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-01,None
כיתות דן דוד,ג',"ד""ר מוסרי אברהם",ביה''ס לאדריכלות ,203 ,ב',אמנויות,שיעור,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-01,1000 - 0800
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,תרגיל,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-02,None
כיתות דן דוד,ג',"ד""ר מוסרי אברהם",ביה''ס לאדריכלות ,203 ,ב',אמנויות,תרגיל,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-02,1100 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,תרגיל,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-03,None
כיתות דן דוד,ג',"ד""ר מוסרי אברהם",ביה''ס לאדריכלות ,203 ,ב',אמנויות,תרגיל,"מבוא לחשיבה אינטגרטיבית ומערכתית - מדע, הנדסה וטכנולוגיה באדריכלות",0881-1308-03,1200 - 1100
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,פיסיקה לאדריכלות,0881-1309-01,None
אוד' מלמד,א',פרופ עציון ארז,ביה''ס לאדריכלות ,006 ,א',אמנויות,שיעור,פיסיקה לאדריכלות,0881-1309-01,1200 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,תרגיל,פיסיקה לאדריכלות,0881-1309-02,None
כיתות דן דוד,ה',מר בנשלום נמרוד,ביה''ס לאדריכלות ,201 ,א',אמנויות,תרגיל,פיסיקה לאדריכלות,0881-1309-02,1000 - 0900
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,תרגיל,פיסיקה לאדריכלות,0881-1309-03,None
כיתות דן דוד,ה',מר בנשלום נמרוד,ביה''ס לאדריכלות ,203 ,א',אמנויות,תרגיל,פיסיקה לאדריכלות,0881-1309-03,1700 - 1600
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,שיעור,טכנולוגיות בנייה,0881-1310-01,None
מכסיקו,ב',מר יחיאלי אהד,ביה''ס לאדריכלות ,209 ,א',אמנויות,שיעור,טכנולוגיות בנייה,0881-1310-01,1100 - 0900
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,שיעור ות,מבוא לסוציולוגיה,0881-1404-01,None
כיתות דן דוד,ב',"ד""ר אדלר אירית",ביה''ס לאדריכלות ,201 ,ב',אמנויות,שיעור ות,מבוא לסוציולוגיה,0881-1404-01,1000 - 0800
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-01,None
מכסיקו,ב',גב' קציר ענת,ביה''ס לאדריכלות ,212 ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-01,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-02,None
None,ב',גב' גסלב אנה,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-02,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-03,None
None,ב',גב' רוטנברג עדה,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-03,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-04,None
None,ב',מר בן-יהודה עודד,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,יסודות בתקשורת חזותית,0881-1408-04,1300 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-01,None
בית הסטודנט,א',מר פלג עמיר,ביה''ס לאדריכלות ,205 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-01,1900 - 1600
בית הסטודנט,ד',מר פלג עמיר,ביה''ס לאדריכלות ,205 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-01,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-02,None
בית הסטודנט,א',מר וינברג עדי,ביה''ס לאדריכלות ,206 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-02,1900 - 1600
בית הסטודנט,ד',מר וינברג עדי,ביה''ס לאדריכלות ,206 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-02,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-03,None
בית הסטודנט,א',מר יזרעאלי חיים אילן,ביה''ס לאדריכלות ,207 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-03,1900 - 1600
בית הסטודנט,ד',מר יזרעאלי חיים אילן,ביה''ס לאדריכלות ,207 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-03,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-04,None
בית הסטודנט,א',גב' כרמון אסתר,ביה''ס לאדריכלות ,208 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-04,1900 - 1600
בית הסטודנט,ד',גב' כרמון אסתר,ביה''ס לאדריכלות ,208 ,א',אמנויות,סדנה,"סטודיו עיצוב 2א - עיצוב אדריכלי, מבנה מגורים בקנה מידה קטן",0881-2101-04,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-01,None
בית הסטודנט,א',  ,ביה''ס לאדריכלות ,208 ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-01,1900 - 1600
בית הסטודנט,ד',  ,ביה''ס לאדריכלות ,208 ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-01,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-02,None
בית הסטודנט,א',"ד""ר אוסטרליץ נעם מרדכי",ביה''ס לאדריכלות ,207 ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-02,1900 - 1600
בית הסטודנט,ד',"ד""ר אוסטרליץ נעם מרדכי",ביה''ס לאדריכלות ,207 ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-02,1500 - 1000
None,None,  ,ביה''ס לאדריכלות ,    ,ב',אמנויות,סדנה,"סטודיו עיצוב 2ב - עיצוב אדריכלי, מבנה ציבורי בקנה מידה קטן",0881-2104-03,None
