building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ה',מר רול גד,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,משחק א,0811-0231-01,2000 - 1600
מכסיקו,ד',פרופ הניג אופירה,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,מצילום דקומנטרי למופע,0811-0232-01,1800 - 1500
מכסיקו,ד',פרופ הניג אופירה,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,מצילום דקומנטרי למופע,0811-0232-01,1500 - 1200
מאירהוף ב.א',ה',גב' אופנהיים לנדאו מיכל,אמנות התאטרון ,317 ,א',אמנויות,עבודה מע,קול,0811-0233-01,1200 - 1000
מכסיקו,ב',מר זהר מאיר זיו,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,דיבור ושפה,0811-0234-01,1900 - 1600
מכסיקו,ב',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,208 ,ב',אמנויות,סמינר,קווי שבר בתיאטרון היידי,0811-0235-01,1600 - 1200
מכסיקו,ג',"ד""ר הררי דרור",אמנות התאטרון ,120 ,ב',אמנויות,סמינר,תיאטרון לפנים,0811-0236-01,1400 - 1000
כיתות דן דוד,ד',"ד""ר שלגו איגר שלומית",אמנות התאטרון ,201 ,ב',אמנויות,סמינר,ייצוגי מלחמה בתיאטרון המודרני טקסט דרמטי בקונטקסט אידיאולוגי,0811-0237-01,1600 - 1200
מכסיקו,ג',"ד""ר מלכא-ילין ליאורה",אמנות התאטרון ,212 ,א',אמנויות,סמינר,"דמויות שקספיריות: פעולה, דימוי ופוליטיקה של זהויות",0811-0238-01,1400 - 1000
כיתות דן דוד,ד',"ד""ר אהרונסון-להבי שרון",אמנות התאטרון ,203 ,א',אמנויות,סמינר,דרמה קלאסית ותיאטרון ניסיוני בישראל,0811-0239-01,2000 - 1600
מכסיקו,ד',"ד""ר אלון חן",אמנות התאטרון ,120 ,א',אמנויות,סמינר,ארטיביזם; משחקים שינוי חברתי,0811-0240-01,1600 - 1200
מכסיקו,א',"ד""ר בן-שאול דפנה",אמנות התאטרון ,209 ,א',אמנויות,סמינר,מופע הרפלקסיבי: התיאטרון של נרקיס ואכו,0811-0241-01,1800 - 1400
מכסיקו,ג',מר ענבר דן,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,לדבר את הטקסט,0811-0242-01,1700 - 1400
מכסיקו,ה',מר דומנוב איליה,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,קרבות במה,0811-0813-01,1900 - 1700
מכסיקו,ב',מר רול גד,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,תחביר הבימוי,0811-0814-01,2000 - 1700
מכסיקו,א',מר רול גד,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,תחביר הבימוי,0811-0814-01,1500 - 1200
מכסיקו,ב',גב' גודר יסמין,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,עבודה בחלל - פעולה ותנועה,0811-0815-01,1500 - 1200
מכסיקו,ה',"ד""ר הריס פיטר",אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,אימפרוביזציה ויסודות המשחק,0811-0816-01,1200 - 0900
מכסיקו,ה',"ד""ר הריס פיטר",אמנות התאטרון ,121 ,ב',אמנויות,עבודה מע,אימפרוביזציה ויסודות המשחק,0811-0816-01,1200 - 0900
מכסיקו,ה',גב' קופרברג אודליה,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,תנועה לשחקנים,0811-0817-01,1100 - 0900
מכסיקו,ג',גב' קופרברג אודליה,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,תנועה לשחקנים,0811-0817-01,1400 - 1200
None,ב',"ד""ר אלון חן",אמנות התאטרון ,    ,א',אמנויות,עבודה מע,פרויקט תיאטרון בקהילה,0811-0818-01,2000 - 1700
None,ב',"ד""ר אלון חן",אמנות התאטרון ,    ,ב',אמנויות,עבודה מע,פרויקט תיאטרון בקהילה,0811-0818-01,2000 - 1700
מכסיקו,ב',גב' קרק טלי,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,"עבודת השחקן-גוף,קול,טקסט",0811-0820-01,1300 - 1000
מכסיקו,ה',גב' קרק טלי,אמנות התאטרון ,121 ,ב',אמנויות,עבודה מע,"עבודת השחקן-גוף,קול,טקסט",0811-0820-01,1500 - 1200
None,None,  ,אמנות התאטרון ,    ,א',אמנויות,תרגיל,הדרכת בטיחות,0811-1006-01,None
מכסיקו,א',מר פרלשטיין משה,אמנות התאטרון ,120 ,ב',אמנויות,שיעור,תיאוריות בימוי,0811-1007-01,1000 - 0800
מכסיקו,ה',מר פרידמן עודד במבי יצחק,אמנות התאטרון ,208 ,א',אמנויות,שיעור,שעור הפקה 1,0811-1013-01,2000 - 1600
מכסיקו,ה',מר בר-עוז גדי,אמנות התאטרון ,209 ,א',אמנויות,שיעור,שעור הפקה 2,0811-1014-01,2000 - 1600
מכסיקו,ה',מר פרידמן עודד במבי יצחק,אמנות התאטרון ,213 ,ב',אמנויות,שיעור,שעור הפקה 3,0811-1015-01,2000 - 1600
קיקואין,ה',מר בר-עוז גדי,אמנות התאטרון ,001 ,ב',אמנויות,שיעור,שעור הפקה 4,0811-1016-01,2000 - 1600
מכסיקו,ה',פרופ בילו גורצקה מרים,אמנות התאטרון ,120 ,א',אמנויות,שיעור,שעור הפקה 5 - מצטיינים,0811-1017-01,1800 - 1600
מכסיקו,ה',פרופ בילו גורצקה מרים,אמנות התאטרון ,206ג,ב',אמנויות,שיעור,שעור הפקה 5 - מצטיינים,0811-1017-01,1800 - 1600
מכסיקו,ה',מר ברגמן נמרוד,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,חשיבה דרמטית - מניתוח טקסטואלי לביצוע בימתי,0811-1018-01,1200 - 0900
מכסיקו,ב',פרופ סרפר צבי,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,טכניקות משחק יפניות ויישומן,0811-1019-01,1800 - 1500
מכסיקו,ג',גב' דיימונד ריבי,אמנות התאטרון ,207א,א',אמנויות,עבודה מע,תנועה וריקוד לשחקנים,0811-1020-01,1800 - 1600
מכסיקו,א',מר ענבר דן,אמנות התאטרון ,121 ,א',אמנויות,עבודה מע,לדבר את הטקסט,0811-1021-01,1400 - 1100
מכסיקו,א',מר ענבר דן,אמנות התאטרון ,119 ,א',אמנויות,עבודה מע,לדבר את הטקסט,0811-1021-01,1400 - 1100
מכסיקו,ד',גב' אזולאי אורית,אמנות התאטרון ,121 ,ב',אמנויות,עבודה מע,משחק בקולנוע,0811-1023-01,1500 - 1200
מכסיקו,ה',מר תבורי דורון,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,משחק למתקדמים,0811-1024-01,1400 - 1000
מכסיקו,ב',מר תבורי דורון,אמנות התאטרון ,207א,ב',אמנויות,עבודה מע,עבודת שחקן במאי,0811-1025-01,1400 - 1000
מכסיקו,ב',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,213 ,א',אמנויות,שיעור,כתיבה אקדמית,0811-1072-01,1000 - 0800
מכסיקו,א',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,213 ,ב',אמנויות,שיעור,קריאה בקלאסיקות של הדרמה,0811-1073-01,1000 - 0800
מכסיקו,ד',פרופ אוארבך נולה,אמנות התאטרון ,206ב,א',אמנויות,עבודה מע,סדנת משחק דו חוגי,0811-1095-01,1200 - 0900
מכסיקו,ד',פרופ אוארבך נולה,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,סדנת משחק דו חוגי,0811-1095-01,1200 - 0900
קיקואין,ה',מר בר-עוז גדי,אמנות התאטרון ,001 ,א',אמנויות,שיעור,מבוא לניהול הפקה,0811-1096-01,1600 - 1400
מכסיקו,א',"ד""ר ליפשיץ יאיר",אמנות התאטרון ,120 ,ב',אמנויות,שיעור,מבוא לתאטרון הישראלי והפלסטיני,0811-1134-01,1200 - 1000
מכסיקו,ד',"ד""ר בן-שאול דפנה",אמנות התאטרון ,206א,א',אמנויות,שיעור,קריאת מחזות,0811-1149-01,1000 - 0800
מכסיקו,ה',מר רול גד,אמנות התאטרון ,206ב,ב',אמנויות,עבודה מע,משחק ב,0811-1151-01,1700 - 1400
